Cycle #,Voltage,,,,,,,,,,,,Uncertainties,,,,,,,,,,,,Precise Duration,,,,,,,,,,,,Uncertainty,,,,,,,,,,,,Cumulative Duration,,,,,,,,,,,
Bot #,3,5,7,10,14,15,16,17,19,[?],B,D,3,5,7,10,14,15,16,17,19,[?],B,D,3,5,7,10,14,15,16,17,19,[?],B,D,3,5,7,10,14,15,16,17,19,[?],B,D,3,5,7,10,14,15,16,17,19,[?],B,D
0,3.90,4.07,3.81,3.94,4.02,3.87,3.99,3.95,4.04,3.87,3.94,3.89,0.0117,0.0122,0.0114,0.0118,0.0121,0.0116,0.0120,0.0119,0.0121,0.0116,0.0118,0.0117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.83,3.98,3.73,3.83,3.94,3.80,3.88,3.84,3.89,3.83,3.81,3.81,0.0115,0.0119,0.0112,0.0115,0.0118,0.0114,0.0116,0.0115,0.0117,0.0115,0.0114,0.0114,300,300,300,300,300,300,300,301,300,300,300,300,1,1,1,1,1,6,1,1,1,1,1,1,300,300,300,300,300,300,300,301,300,300,300,300
2,3.79,3.90,3.68,3.78,3.88,3.75,3.83,3.80,3.83,3.75,3.77,3.74,0.0114,0.0117,0.0110,0.0113,0.0116,0.0113,0.0115,0.0114,0.0115,0.0113,0.0113,0.0112,300,300,300,300,300,300,300,300,300,300,300,300,1,1,1,1,1,1,1,1,1,1,1,1,600,600,600,600,600,600,600,601,600,600,600,600
3,3.75,3.86,3.62,3.73,3.84,3.71,3.79,3.77,3.78,3.73,3.73,3.70,0.0113,0.0116,0.0109,0.0112,0.0115,0.0111,0.0114,0.0113,0.0113,0.0112,0.0112,0.0111,300,300,300,300,300,300,300,300,300,305,300,300,1,1,1,1,1,1,1,1,1,1,1,1,900,900,900,900,900,900,900,901,900,905,900,900
4,3.71,3.82,3.53,3.69,3.80,3.70,3.73,3.73,3.74,3.70,3.72,3.68,0.0111,0.0115,0.0106,0.0111,0.0114,0.0111,0.0112,0.0112,0.0112,0.0111,0.0112,0.0110,300,300,300,300,300,300,300,300,300,300,300,300,1,1,1,1,1,3,1,1,1,1,1,2,1200,1200,1200,1200,1200,1200,1200,1201,1200,1205,1200,1200
5,3.69,3.80,3.27,3.64,3.78,3.66,3.69,3.71,3.72,3.63,3.65,3.63,0.0111,0.0114,0.0098,0.0109,0.0113,0.0110,0.0111,0.0111,0.0112,0.0109,0.0110,0.0109,300,300,300,300,300,300,300,300,300,303,300,300,1,1,1,1,1,3,1,1,1,1,1,1,1500,1500,1500,1500,1500,1500,1500,1501,1500,1508,1500,1500
6,3.66,3.75,2.92,3.62,3.74,3.59,3.64,3.68,3.66,3.51,3.62,3.56,0.0110,0.0113,0.0088,0.0109,0.0112,0.0108,0.0109,0.0110,0.0110,0.0105,0.0109,0.0107,300,300,119,304,300,300,300,300,300,300,300,300,1,1,2,1,1,3,1,1,1,1,1,3,1800,1800,1619,1804,1800,1800,1800,1801,1800,1808,1800,1800
7,3.59,3.73,0.00,3.48,3.72,3.54,3.57,3.63,3.60,3.20,3.52,3.43,0.0108,0.0112,0.0000,0.0104,0.0112,0.0106,0.0107,0.0109,0.0108,0.0096,0.0106,0.0103,302,300,0,300,300,300,300,300,300,300,300,300,1,1,0,1,1,2,1,1,1,1,1,2,2102,2100,1619,2104,2100,2100,2100,2101,2100,2108,2100,2100
8,3.49,3.69,0.00,3.28,3.71,3.29,3.44,3.56,3.51,3.00,3.39,2.98,0.0105,0.0111,0.0000,0.0098,0.0111,0.0099,0.0103,0.0107,0.0105,0.0090,0.0102,0.0089,300,300,0,303,300,300,300,300,300,96,300,300,1,1,0,1,3,1,1,1,1,2,1,1,2402,2400,1619,2407,2400,2400,2400,2401,2400,2204,2400,2400
9,3.20,3.66,0.00,2.77,3.68,2.87,2.95,3.41,3.33,0.00,3.02,0.00,0.0096,0.0110,0.0000,0.0083,0.0110,0.0086,0.0089,0.0102,0.0100,0.0000,0.0091,0.0000,300,300,0,259,300,225,300,300,310,0,300,0,1,1,0,1,1,1,1,1,1,0,1,0,2702,2700,1619,2666,2700,2625,2700,2701,2710,2204,2700,2400
10,2.82,3.59,0.00,0.00,3.64,0.00,0.00,2.93,2.87,0.00,0.00,0.00,0.0085,0.0108,0.0000,0.0000,0.0109,0.0000,0.0000,0.0088,0.0086,0.0000,0.0000,0.0000,227,300,0,0,300,0,0,300,300,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,2929,3000,1619,2666,3000,2625,2700,3001,3010,2204,2700,2400
11,0.00,3.47,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0104,0.0000,0.0000,0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,300,0,0,300,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2929,3300,1619,2666,3300,2625,2700,3001,3010,2204,2700,2400
12,0.00,2.98,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0089,0.0000,0.0000,0.0103,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,310,0,0,300,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2929,3610,1619,2666,3600,2625,2700,3001,3010,2204,2700,2400
13,0.00,2.89,0.00,0.00,3.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0000,0.0087,0.0000,0.0000,0.0091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,79,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2929,3689,1619,2666,3605,2625,2700,3001,3010,2204,2700,2400
